id,name,city_name,address,city_id,slug,latitude,longitude,is_open,usd,cash_in,is_nfc,is_digital,payment_terminal,working_weekends,working_hours,notes
247,Əhmədli filialı,Bakı,"Xətai rayonu, Sarayevo küçəsi 7Q",1,ehmedli-filiali-607,40.386642439220005,49.956370889966045,1,0,0,0,0,0,1,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
250,Səbail filialı,Bakı,"Səbail rayonu, Zərifə Əliyeva pr. 63",1,sebail-filiali-604,40.370709680533324,49.84356945775485,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
251,Cəfər Cabbarlı filialı,Bakı,"Yasamal rayonu, Cəfər Cabbarlı küçəsi 5A",1,cefer-cabbarli-filiali-603,40.38026907454943,49.83018988343833,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
252,Qara Qarayev filialı,Bakı,"Bakı şəhəri, Q.Qarayev prospekti 29",1,qara-qarayev-filiali-602,40.417840808344934,49.93475521513684,1,0,0,0,0,0,1,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
255,Həzi Aslanov filialı,Bakı,"Xətai rayonu, X.Məmmədov küçəsi 13",1,hezi-aslanov-filiali-599,40.372733520928904,49.947073452445615,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
256,Xəzər filialı,Bakı,"Xəzər rayonu, Şüvalan kəndi, A.İldırım küçəsi 16",1,xezer-filiali-598,40.48636010652908,50.1703951167884,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
257,Gənclik Mall filialı,Bakı,"Bakı şəh., şəhəri, Fətəli Xan Xoyski pr., Gənclik Mall ticarət mərkəzinin -1 mərtəbəsi",1,genclik-mall-filiali-597,40.400179847136464,49.85265809040034,1,0,0,0,0,0,1,Mon-Fri: 10:00-21:45 (Müştərilərə xidmət vaxtı 10:00-21:45); Sat: 10:00-21:45 (Müştərilərə xidmət vaxtı 10:00-21:45); Sun: 10:00-21:45 (Müştərilərə xidmət vaxtı 10:00-21:45),
258,Mərkəz filialı,Bakı,"Bakı şəhəri, Nəsimi rayonu, Bülbül prospekti 60",1,merkez-filiali-596,40.38107163735132,49.84152146574979,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
360,8-ci mikrorayon filialı,Bakı,"Bakı şəhəri, Binəqədi rayonu, 8 M/R, İbrahimpaşa Dadaşov küçəsi 3158/3156-cı məhəllə",1,8-ci-mikrorayon-filial,40.42200190707761,49.84252179859974,1,0,0,0,0,0,1,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
361,Sabunçu filialı,Bakı,"Bakı şəhəri, Sabunçu rayonu, Zabrat qəsəbəsi, Babək küçəsi, ev 92C",1,sabuncu-filiali-612,40.47568914571012,49.9499800321653,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
