address,branch_code,coordinates_id,createdAt,director,documentId,filter_tags,has_safe_box,has_weekend_hours,id,latitude,locale,longitude,nearby_metro,phone_numbers,publishedAt,title,updatedAt,work_time
"Bakı şəhəri, “Sea Breeze” kurort və yaşayış kompleksi  ərazisindəki “The Grand” mehmanxanasının 1-ci mərtəbəsi",227,1280,2025-09-26T06:04:04.168Z,Нурана Исмайлова,c6h4y16p0r45goipo3z9yk2p,Həftəsonu işləyən filiallar,False,True,652,40.591567,az,49.988025,,(+994 12) 493 00 91 | 937,2025-09-26T06:04:40.395Z,Sea Breeze filialı,2025-09-26T06:10:33.607Z,Bazar ertəsi – Cümə: 09:00 - 17:00   | Şənbə: 09:00 - 14:00
"Şuşa şəhəri, Gövhər Ağa küçəsi, Giriş nömrə 13",229,1292,2025-09-26T06:14:36.967Z,Ханлар Ибишов,ymwq3kewcruxmypxawv2yyuj,,False,False,658,39.76091782602176,az,46.752719002683264,,(+994 12) 493 00 91 | 937,2025-09-26T06:14:37.066Z,"""Şuşa"" filialı",2025-09-26T06:17:34.617Z,Bazar ertəsi – Cümə: 09:00 - 17:00
"Bakı, Q.Qarayev, A.Manafov, T.Abbasov və Ə.Hacıyev küçələrinin kəsişməsi, məh. 2453 (Qara Qarayev m/st, 50 saylı dövlət notariat kontorunun yanı)",208,1610,2025-03-06T06:12:20.041Z,Rəşad Quliyev,logn7e5tiqh6p3ilqa4tnkea,Həftəsonu işləyən filiallar,False,True,725,40.419455,az,49.933968,"Qara Qarayev (8 dəqiqə, green line) | Neftçilər (21 dəqiqə, orange line)",(+994 12) 493 00 91 |  937,2025-12-03T10:21:38.574Z,Nizami filialı,2025-12-03T10:23:59.533Z,Bazar ertəsi – Cümə: 09:00 - 17:00 | Şənbə: 10:00 - 17:00
"Bakı şəhəri, Nərimanov rayonu, Ağa Neymətulla küçəsi 42",205,1579,2025-03-06T06:12:21.523Z,Rüfət Ələsgərov,mmluq7o7wdf1mnqjrwewgcay,Həftəsonu işləyən filiallar,False,True,719,40.4022,az,49.873241,"Nəriman Nərimanov (3 dəqiqə, green line) | Gənclik (35 dəqiqə, red line)",(+994 12) 493 00 91 |  937,2025-12-03T07:11:35.600Z,Nərimanov filialı,2025-12-03T07:13:32.444Z,Bazar ertəsi – Cümə: 09:00 - 17:00 | Şənbə: 10:00 - 14:00
"Bakı şəh., Bakıxanov qəs., S.Mehmandarov küç. 26",212,1301,2025-03-06T06:12:23.069Z,Kamil  Dilbazov,mlhknrjzreikjujkgt7kthse,Seyf olan filiallar | Həftəsonu işləyən filiallar,True,True,664,40.424931,az,49.959164,,(+994 12) 493 00 91 |  937,2025-09-26T07:05:38.405Z,Sabunçu filialı,2025-09-26T07:05:34.961Z,Bazar ertəsi – Cümə: 09:00 - 17:00 | Şənbə: 10:00 - 17:00
"Cəlilabad şəhəri, Azərbaycan küçəsi 103",259,1329,2025-03-06T06:12:33.827Z,Natiq Abasov,te3dp7shhzn748x7q3uqyp5s,,False,False,671,39.21406737446153,az,48.51125596131286,,(+994 12) 493 00 91 |  937 |  (+994 25) 245 55 29,2025-11-04T05:10:58.474Z,Cəlilabad filialı,2025-11-04T05:11:33.371Z,Bazar ertəsi – Cümə: 09:00-17:00
"Bakı şəhəri, Yasamal rayonu, A. M. Şərifzadə küçəsi 351C",350,1624,2025-03-06T06:13:13.629Z,Murad Məmmədov,v43r3ru24cpk069a8bejy7hy,Həftəsonu işləyən filiallar,False,True,728,40.397069,az,49.801439,"İnşaatçılar (10 dəqiqə, green line) | 20 yanvar (33 dəqiqə, red line)",(+994 12) 493 00 91 |  937,2025-12-03T10:28:13.434Z,Şərifzadə filialı,2025-12-03T10:30:43.983Z,Bazar ertəsi – Cümə: 09:00 -17:00 | Şənbə - 10:00 - 14:00
"Goranboy, H.Əliyev küç. 1A (müvəqqəti ünvan)",328,1345,2025-03-06T06:13:30.114Z,Abbas Ələkbərov,jszy9pmw40z8hpot4glbgiuh,,False,False,674,40.605344,az,46.785962,,(+994 12) 493 00 91 |  937,2025-11-04T05:11:55.832Z,Goranboy filialı,2025-11-04T05:12:36.014Z,Bazar ertəsi – Cümə: 09:00 -17:00
"Bakı şəh, Səbail rayonu, Sahil m. st. yaxınlığı, H.Z.Tağıyev küçəsi 3",204,1534,2025-03-06T06:12:14.857Z,Qurban Süleymanov,ra8q5gnuezwdozgevhvj7vp4,Həftəsonu işləyən filiallar | Seyf olan filiallar,True,True,710,40.369698,az,49.839626,"Sahil (8 dəqiqə, green line) | İçərişəhər (15 dəqiqə, green line)",(+994 12) 493 00 91 |  937,2025-12-03T07:00:32.577Z,Mərkəzi filialı,2025-12-03T07:02:15.058Z,Bazar ertəsi – Cümə: 09:00-17:00
"Bakı, Nizami rayonu, Heydər Əliyev prospekti 115",932,1479,2025-03-06T06:14:07.241Z,Fuad Məmmədzadə,y53pb36ph02z7udtyxpxkgtv,Həftəsonu işləyən filiallar,False,True,699,40.41774427731688,az,49.90836859799611,"Ulduz (20 dəqiqə, orange line)",(+994 12) 437 79 00 |  937,2025-12-03T06:44:59.152Z,ASAN 5 filialı,2025-12-03T06:46:33.703Z,Bazar ertəsi – Cümə: 09:00 - 17:00; | Şənbə: 09:30 - 17:00; | Bazar: Yalnız ASAN xidmət mərkəzinə olunan vətəndaş müraciətləri ilə bağlı bank xidmətləri 
